"year","quarter_cycle","GDP_growth_qt","DSPIC_change_pct","UNRATE","R_majorvote_pct","D_majorvote_pct","H_incumbent_party_majorvote_pct"
2014,8,95.94,1.32215198,5.7,52.91,47.09,47.09
2015,1,162.714,1.484692136,5.7,NA,NA,NA
2015,2,117.093,0.285818963,5.4,NA,NA,NA
2015,3,63.176,0.692618162,5.2,NA,NA,NA
2015,4,28.041,0.572797463,5,NA,NA,NA
2016,5,99.202,0.768193004,4.9,50.5,49.5,50.5
2016,6,54.939,-0.065714461,5,50.5,49.5,50.5
2016,7,96.185,0.475270944,4.8,50.5,49.5,50.5
2016,8,111.791,0.622963951,4.9,50.5,49.5,50.5
2017,1,101.12,1.062019925,4.7,NA,NA,NA
2017,2,76.753,1.076314595,4.4,NA,NA,NA
2017,3,131.584,0.67925389,4.3,NA,NA,NA
2017,4,173.796,0.569659384,4.1,NA,NA,NA
2018,5,171.051,1.272478976,4.1,45.65,54.35,45.65
2018,6,123.9,0.882532165,4,45.65,54.35,45.65
2018,7,97.972,0.819920626,3.8,45.65,54.35,45.65
2018,8,61.568,0.681127528,3.8,45.65,54.35,45.65
2019,1,136.424,0.823362777,4,NA,NA,NA
2019,2,70.252,-0.240346314,3.6,NA,NA,NA
2019,3,121.145,0.523467166,3.7,NA,NA,NA
2019,4,112.215,0.463900569,3.6,NA,NA,NA
2020,5,-243.111,0.635502611,3.6,48.5,51.5,51.5
2020,6,-1805.026,9.724229674,14.7,48.5,51.5,51.5
2020,7,3964.478,-4.484368255,10.2,48.5,51.5,51.5
2020,8,309.2,-2.155263447,6.9,48.5,51.5,51.5
2021,1,558.7,11.49956722,6.4,NA,NA,NA
2021,2,702.8,-8.201516562,6,NA,NA,NA
2021,3,461.3,-1.050618203,5.4,NA,NA,NA
2021,4,800.5,-1.141480984,4.6,NA,NA,NA
2022,5,383.9,-2.003194936,4,NA,NA,NA
2022,6,496.2,-33.34491945,3.6,NA,NA,NA
